trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-168.37072049469285,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,8,-48.47143662200402,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-82.4639993714692,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-181.95112052721453,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-156.12794943553158,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-106.31104434713819,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-21.925040614787797,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-166.75522837623643,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-137.14288216237733,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-122.2283196973082,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-85.39260322616904,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-177.2698212524766,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-177.06716130838626,"{0: 13, 1: 7, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-38.37880816470758,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-128.87652530492926,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-73.76367877656516,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-49.320514982237015,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-247.78684696875922,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,2,-54.22428105023577,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-105.66562447214085,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,5,-52.526847871772816,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-120.5273857424775,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-78.7913701450982,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-116.39270575553842,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-196.3502788377588,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-74.8993579851008,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-123.59521448671464,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-159.73306864377068,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,15,-31.151528925959454,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-41.06864602165081,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-196.5295438402853,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-267.7830427853145,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-20.612916747341814,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-52.541015510597376,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-152.95331077629805,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,13,-11.871006792551931,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,5,-98.62139570124708,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,5,-33.62286739488557,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-58.361746422371574,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-81.4419654854704,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-46.92263422226906,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-102.50672877795937,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",35,0,-84.34901842686384,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-46.29629379108856,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-154.76555006255467,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-235.181478714022,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 5}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",30,0,-42.06466214234375,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,6,-54.16471333868536,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-59.31717598781566,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-97.64382625709744,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-76.27631965704353,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-22.58819929794477,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-152.38745566069096,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-80.30387752088954,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-77.34094179208743,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-71.48330222184244,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-103.12716917030977,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-14.969364122158042,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",30,0,-130.41217613278258,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,2,-163.63540750843063,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 4}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-85.85585949852255,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,15,-49.71967871288401,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-106.8443309174227,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
