trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,3,-43.93678657515095,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-78.58994116461427,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",30,0,-227.51924503308447,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",20,0,-62.68431886905108,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-91.26464264989177,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-75.24246865803414,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",25,0,-152.65958777921367,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",25,0,-79.83446800270202,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",25,0,-172.18674710155975,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681397}",30,21,-44.39079602476285,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",25,0,-41.91158111666816,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",25,0,-139.3977036535085,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",20,0,-90.7885230375985,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",25,0,8.605040747477593,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",30,7,1.6098560097520715,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",25,0,39.385299824968065,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
