trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-34.58931023429043,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",25,0,-22.674647490661854,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,0,-34.79439793927551,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-36.860681115807836,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-42.72534518978357,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",30,0,-34.96240607968274,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-44.796272951677345,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-15.253384432566964,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,0,-35.26981779876364,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",35,0,-82.97199296759304,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-37.829068293053695,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-38.01282311458004,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-46.486401329656346,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-24.76082904543034,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-21.495168985144993,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-53.24642047843905,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,0,-49.350598190307544,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-40.50023044302907,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,-38.75168513510804,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",30,0,-73.80467922228048,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.557383691647445,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.46150683229756,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-51.83246103143692,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-44.05474854754328,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.57056417703285,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
